# ћетэастанцы€ ћ≥нск, Ѕеларусь, WMO_ID=26850, выбарка з 19.09.2014 па 26.09.2015, Ґсе дн≥
#  адоҐка: ANSI
# ≤нфармацы€ прадастаҐлена сайтам "–эальны прагноз", rp5.by 
#  ал≥ ласка, пры выкарыстанн≥ даных, спасылайцес€ на названы сайт.
# јбазначэнн€ метэапараметраҐ гл€дзець па адрасу http://rp5.by/archive.php?wmo_id=26850&lang=be
#
"ћ€сцовы час Ґ горадзе ћ≥нск";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.09.2015 09:00";"17.3";"742.0";"762.2";"0.3";"81";"¬ецер з паҐднЄвага Ґсходу";"1";"";"";"70 Ц 80%.";" ";"";"";"15.8";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"13.9";"";"";"";"";"";"";
"25.09.2015 06:00";"16.1";"741.7";"762.0";"-0.4";"86";"Ўтыль, ветру н€ма";"0";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"13.8";"";"";"";"";"";"";
"25.09.2015 03:00";"17.4";"742.1";"762.4";"-0.8";"82";"Ўтыль, ветру н€ма";"0";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"14.3";"";"";"";"";"";"";
"25.09.2015 00:00";"18.6";"742.9";"763.1";"-0.3";"77";"Ўтыль, ветру н€ма";"0";"";"";"60%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"60%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"14.5";"";"";"";"";"";"";
"24.09.2015 21:00";"19.9";"743.2";"763.3";"0.0";"73";"¬ецер з усходу";"1";"";"";"40%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"Ћ≥вень (л≥Ґн≥).";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"";"25.9";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"20Ц30%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"10.0";"14.9";"—л€ды ападкаҐ";"12";"";"";"";"";
"24.09.2015 18:00";"24.0";"743.2";"763.0";"-0.5";"60";"Ўтыль, ветру н€ма";"0";"";"";"70 Ц 80%.";"Ћ≥Ґневы(ы€) дождж (дажджы). ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"50%.";"600-1000";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"10.0";"15.8";"";"";"";"";"";"";
"24.09.2015 15:00";"24.3";"743.7";"763.6";"-0.1";"58";"¬ецер з усхода-паҐднЄва-Ґсходу";"1";"";"";"90  або больш, але не 100%";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"50%.";"600-1000";"¬ысокакучавы€, празрысты€ або шчыльны€ Ґ двух або больш сла€х або высокакучавы€ шчыльны€ Ґ адным слое, не распаҐсюджаны€ па небе, або высокакучавы€ з высокасла≥стым≥ або сла≥ста-дажджавым≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"15.6";"";"";"";"";"";"";
"24.09.2015 12:00";"20.5";"743.8";"763.9";"0.3";"75";"¬ецер з усходу";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"50%.";"1000-1500";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"10.0";"15.9";"";"";"";"";"";"";
"24.09.2015 09:00";"14.5";"743.5";"763.9";"0.3";"97";"Ўтыль, ветру н€ма";"0";"";"";"70 Ц 80%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"13.4";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"Ќ€ма воблакаҐ.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"6.0";"14.0";"";"";"";"";"";"";
"24.09.2015 06:00";"13.7";"743.2";"763.8";"0.1";"97";"¬ецер з паҐночнага Ґсходу";"1";"";"";"Ќ€ма воблакаҐ.";"—муга. ";"¬облак≥ Ґкрывал≥ палову неба або меньш на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ палову неба або меньш на прац€гу Ґс€го адпаведнага перы€да.";"";"";"";"";"";"";"";"4.7";"13.2";"";"";"";"";"";"";
"24.09.2015 03:00";"14.3";"743.1";"763.6";"-0.1";"96";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";"—муга. ";"¬облак≥ Ґкрывал≥ палову неба або меньш на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ палову неба або меньш на прац€гу Ґс€го адпаведнага перы€да.";"";"";"";"";"";"";"";"6.0";"13.7";"";"";"";"";"";"";
"24.09.2015 00:00";"16.0";"743.2";"763.6";"0.9";"90";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"23.09.2015 21:00";"17.7";"742.3";"762.6";"0.5";"77";"¬ецер з усхода-паҐднЄва-Ґсходу";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"21.5";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"23.09.2015 18:00";"21.0";"741.8";"761.8";"-0.1";"58";"¬ецер з усхода-паҐднЄва-Ґсходу";"2";"";"";"60%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"60%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"12.5";"";"";"";"";"";"";
"23.09.2015 15:00";"20.3";"741.9";"762.0";"-0.3";"55";"¬ецер з паҐднЄвага Ґсходу";"2";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"11.0";"";"";"";"";"";"";
"23.09.2015 12:00";"17.7";"742.2";"762.4";"0.0";"60";"¬ецер з паҐднЄвага Ґсходу";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"9.8";"";"";"";"";"";"";
"23.09.2015 09:00";"11.2";"742.2";"763.0";"0.2";"76";"¬ецер з усходу";"1";"";"";"40%.";" ";"";"";"7.8";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"40%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"7.1";"";"";"";"";"";"";
"23.09.2015 06:00";"8.6";"742.0";"763.0";"-0.3";"85";"¬ецер з усхода-паҐднЄва-Ґсходу";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"6.2";"";"";"";"";"";"";
"23.09.2015 03:00";"8.4";"742.3";"763.3";"-0.2";"86";"¬ецер з усхода-паҐднЄва-Ґсходу";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"6.2";"";"";"";"";"";"";
"23.09.2015 00:00";"9.5";"742.5";"763.4";"0.1";"83";"¬ецер з усхода-паҐднЄва-Ґсходу";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"6.8";"";"";"";"";"";"";
"22.09.2015 21:00";"11.7";"742.4";"763.2";"0.3";"76";"¬ецер з усхода-паҐднЄва-Ґсходу";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"16.9";"";"";"";"";"";"15.0";"7.6";"";"";"";"";"";"";
"22.09.2015 18:00";"15.7";"742.1";"762.5";"-0.9";"58";"¬ецер з паҐднЄвага Ґсходу";"1";"";"";"60%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"60%.";"1000-1500";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"7.3";"";"";"";"";"";"";
"22.09.2015 15:00";"14.7";"743.0";"763.6";"-0.4";"61";"¬ецер з поҐдн€";"1";"";"";"60%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"60%.";"1000-1500";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"7.3";"";"";"";"";"";"";
"22.09.2015 12:00";"10.7";"743.4";"764.2";"0.9";"85";"¬ецер з захаду";"1";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"8.0";"8.3";"";"";"";"";"";"";
"22.09.2015 09:00";"8.2";"742.5";"763.6";"1.1";"97";"¬ецер з захаду";"1";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"7.1";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"1.3";"7.7";"";"";"";"";"";"";
"22.09.2015 06:00";"7.4";"741.4";"762.5";"0.5";"95";"Ўтыль, ветру н€ма";"0";"";"";"90  або больш, але не 100%";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу частк≥ адпаведнага перы€да ≥ палову або меньш на прац€гу другой частк≥ адпаведнага перы€да.";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"90  або больш, але не 100%";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"7.0";"6.6";"";"";"";"";"";"";
"22.09.2015 03:00";"8.8";"740.9";"761.8";"0.4";"89";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"7.0";"";"";"";"";"";"";
"22.09.2015 00:00";"10.4";"740.5";"760.7";"1.1";"79";"¬ецер з захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"6.9";"";"";"";"";"";"";
"21.09.2015 21:00";"12.2";"739.4";"760.0";"0.9";"71";"Ўтыль, ветру н€ма";"0";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"16.4";"";"";"";"";"";"15.0";"7.1";"";"";"";"";"";"";
"21.09.2015 18:00";"14.8";"738.5";"758.9";"0.4";"62";"¬ецер з захаду-паҐднЄва-захаду";"3";"";"";"60%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"60%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"7.5";"";"";"";"";"";"";
"21.09.2015 15:00";"14.9";"738.1";"758.5";"0.2";"73";"¬ецер з захаду";"1";"";"";"60%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"60%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"10.0";"";"";"";"";"";"";
"21.09.2015 12:00";"13.1";"737.9";"758.5";"0.9";"81";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"100%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"15.0";"9.9";"";"";"";"";"";"";
"21.09.2015 09:00";"11.9";"737.0";"757.6";"0.4";"92";"¬ецер з захаду";"3";"";"";"100%.";" ";"";"";"11.5";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"15.0";"10.7";"7.0";"12";"";"";"";"";
"21.09.2015 06:00";"11.7";"736.6";"757.1";"0.3";"96";"¬ецер з захаду-паҐднЄва-захаду";"1";"";"";"100%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"60%.";"200-300";"¬ысокасла≥сты€ непразрысты€ або сла≥ста-дажджвы€.";"";"10.0";"11.1";"";"";"";"";"";"";
"21.09.2015 03:00";"12.4";"736.3";"756.7";"0.0";"96";"¬ецер з захаду-паҐднЄва-захаду";"1";"";"";"100%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"60%.";"200-300";"¬ысокасла≥сты€ непразрысты€ або сла≥ста-дажджвы€.";"";"10.0";"11.7";"";"";"";"";"";"";
"21.09.2015 00:00";"15.7";"736.3";"756.5";"-1.3";"97";"¬ецер з паҐднЄва-паҐднЄва-захаду";"1";"";"";"100%.";" ";"";"";"";"";"—ла≥сты€ разорваны€ або кучавы€ разорваны€ воблак≥ кепскага надвор'€, або ты€ й ≥ншы€ разам (разарвана-дажджавы€); звычайна знаходз€цца пад сла≥стым≥ або сла≥ста-дажджавым≥.";"100%.";"200-300";"¬ысокасла≥сты€ непразрысты€ або сла≥ста-дажджвы€.";"";"6.0";"15.3";"";"";"";"";"";"";
"20.09.2015 21:00";"13.9";"737.6";"758.0";"-1.7";"96";"¬ецер з усходу";"1";"";"";"100%.";"ƒождж незам€рзальны бесперапынны слабы Ґ час наз≥ранн€. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"19.2";"—ла≥сты€ разорваны€ або кучавы€ разорваны€ воблак≥ кепскага надвор'€, або ты€ й ≥ншы€ разам (разарвана-дажджавы€); звычайна знаходз€цца пад сла≥стым≥ або сла≥ста-дажджавым≥.";"100%.";"200-300";"¬ысокасла≥сты€ непразрысты€ або сла≥ста-дажджвы€.";"";"6.0";"13.2";"10.0";"12";"";"";"";"";
"20.09.2015 18:00";"14.5";"739.3";"759.7";"-1.9";"95";"¬ецер з паҐночнага Ґсходу";"2";"";"";"100%.";"ƒождж незам€рзальны бесперапынны слабы Ґ час наз≥ранн€. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥сты€ разорваны€ або кучавы€ разорваны€ воблак≥ кепскага надвор'€, або ты€ й ≥ншы€ разам (разарвана-дажджавы€); звычайна знаходз€цца пад сла≥стым≥ або сла≥ста-дажджавым≥.";"100%.";"300-600";"¬ысокасла≥сты€ непразрысты€ або сла≥ста-дажджвы€.";"";"10.0";"13.7";"";"";"";"";"";"";
"20.09.2015 15:00";"15.8";"741.2";"761.5";"-0.6";"89";"Ўтыль, ветру н€ма";"0";"";"";"100%.";"ƒождж незам€рзальны бесперапынны Ґмераны Ґ час наз≥ранн€. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"8.0";"14.0";"";"";"";"";"";"";
"20.09.2015 12:00";"18.8";"741.8";"762.0";"-1.4";"65";"¬ецер з усхода-паҐднЄва-Ґсходу";"2";"";"";"40%.";" ";"";"";"";"";" учавы€ с€рэдн≥€ або магутны€ або разам з кучавым≥ разарваным≥, або з кучавым≥ плоск≥м≥, або са сла≥ста-кучавым≥, або без ≥х; падножжа Ґс≥х воблакаҐ знаходз≥цца на адным ҐзроҐн≥.";"40%.";"1000-1500";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"12.1";"";"";"";"";"";"";
"20.09.2015 09:00";"13.1";"743.2";"763.9";"-0.7";"81";"¬ецер з усхода-паҐночна-Ґсходу";"1";"";"";"60%.";" ";"";"";"9.4";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"40%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"10.0";"9.9";"";"";"";"";"";"";
